date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2005-01-04,sh.600703,0.3253432000,0.3293108000,0.3245496800,0.3261367200,0.3277237600,151355,624337.0000,2,0.258346,1,-0.480000,0,15.916950,1.889837
2005-01-05,sh.600703,0.3261367200,0.3372460000,0.3261367200,0.3332784000,0.3261367200,133493,559243.0000,2,0.227857,1,2.190000,0,16.265497,1.931220
2005-01-06,sh.600703,0.3332784000,0.3332784000,0.3261367200,0.3308978400,0.3332784000,122227,508592.0000,2,0.208628,1,-0.710000,0,16.149315,1.917426
2005-01-07,sh.600703,0.3364524800,0.3388330400,0.3324848800,0.3340719200,0.3308978400,99320,419809.0000,2,0.169528,1,0.960000,0,16.304224,1.935818
2005-01-10,sh.600703,0.3332784000,0.3396265600,0.3332784000,0.3388330400,0.3340719200,112023,475604.0000,2,0.191211,1,1.430000,0,16.536588,1.963407
2005-01-11,sh.600703,0.3404200800,0.3404200800,0.3340719200,0.3396265600,0.3388330400,128552,545462.0000,2,0.219424,1,0.230000,0,16.575316,1.968005
2005-01-12,sh.600703,0.3332784000,0.3396265600,0.3332784000,0.3388330400,0.3396265600,86113,365677.0000,2,0.146985,1,-0.230000,0,16.536588,1.963407
2005-01-13,sh.600703,0.3404200800,0.3428006400,0.3356589600,0.3412136000,0.3388330400,173477,744039.0000,2,0.296105,1,0.700000,0,16.652771,1.977202
2005-01-14,sh.600703,0.3372460000,0.3404200800,0.3301043200,0.3332784000,0.3412136000,292527,1245231.0000,2,0.499310,1,-2.330000,0,16.265497,1.931220
2005-01-17,sh.600703,0.3301043200,0.3356589600,0.3205820800,0.3324848800,0.3332784000,351749,1440647.0000,2,0.600396,1,-0.240000,0,16.226769,1.926622
2005-01-18,sh.600703,0.3380395200,0.3491488000,0.3380395200,0.3483552800,0.3324848800,1037547,4494578.0000,2,1.770975,1,4.770000,0,17.001317,2.018585
2005-01-19,sh.600703,0.3388330400,0.3435941600,0.3348654400,0.3388330400,0.3483552800,328493,1406721.0000,2,0.560700,1,-2.730000,0,16.536588,1.963407
2005-01-20,sh.600703,0.3332784000,0.3332784000,0.3245496800,0.3316913600,0.3388330400,350281,1457315.0000,2,0.597890,1,-2.110000,0,16.188042,1.922024
2005-01-21,sh.600703,0.3316913600,0.3388330400,0.3245496800,0.3380395200,0.3316913600,263100,1103326.0000,2,0.449082,1,1.910000,0,16.497861,1.958809
2005-01-24,sh.600703,0.3475617600,0.3491488000,0.3388330400,0.3443876800,0.3380395200,390897,1688723.0000,2,0.667217,1,1.880000,0,16.807680,1.995594
2005-01-25,sh.600703,0.3435941600,0.3435941600,0.3356589600,0.3412136000,0.3443876800,167101,713733.0000,2,0.285222,1,-0.920000,0,16.652771,1.977202
2005-01-26,sh.600703,0.3356589600,0.3396265600,0.3324848800,0.3332784000,0.3412136000,120000,507859.0000,2,0.204826,1,-2.330000,0,16.265497,1.931220
2005-01-27,sh.600703,0.3332784000,0.3332784000,0.3269302400,0.3277237600,0.3332784000,213615,888645.0000,2,0.364616,1,-1.670000,0,15.994405,1.899033
2005-01-28,sh.600703,0.3253432000,0.3308978400,0.3205820800,0.3245496800,0.3277237600,143000,585220.0000,2,0.244085,1,-0.970000,0,15.839496,1.880641
2005-01-31,sh.600703,0.3166144800,0.3189950400,0.3039181600,0.3039181600,0.3245496800,252900,989628.0000,2,0.431672,1,-6.360000,0,14.832584,1.761089
2005-02-01,sh.600703,0.3039181600,0.3086792800,0.2816996000,0.2880477600,0.3039181600,221597,820000.0000,2,0.378241,1,-5.220000,0,14.058037,1.669126
2005-02-02,sh.600703,0.2880477600,0.3055052000,0.2856672000,0.3055052000,0.2880477600,350889,1316742.0000,2,0.598928,1,6.060000,0,14.910039,1.770285
2005-02-03,sh.600703,0.3055052000,0.3094728000,0.2975700000,0.2991570400,0.3055052000,216994,829078.0000,2,0.370384,1,-2.080000,0,14.600220,1.733500
2005-02-04,sh.600703,0.2991570400,0.3031246400,0.2943959200,0.3015376000,0.2991570400,235847,894540.0000,2,0.402564,1,0.800000,0,14.716402,1.747294
2005-02-16,sh.600703,0.3078857600,0.3094728000,0.3023311200,0.3094728000,0.3015376000,281299,1091631.0000,2,0.480145,1,2.630000,0,15.103676,1.793276
2005-02-17,sh.600703,0.3221691200,0.3277237600,0.3166144800,0.3189950400,0.3094728000,1159592,4689156.0000,2,1.979292,1,3.080000,0,15.568404,1.848454
2005-02-18,sh.600703,0.3166144800,0.3189950400,0.3110598400,0.3142339200,0.3189950400,229100,907200.0000,2,0.391048,1,-1.490000,0,15.336040,1.820865
2005-02-21,sh.600703,0.3110598400,0.3213756000,0.3110598400,0.3197885600,0.3142339200,249453,1000150.0000,2,0.425788,1,1.770000,0,15.607131,1.853052
