date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2005-01-04,sz.000516,0.5053740000,0.5112700300,0.5011625500,0.5095854500,0.5112700300,75500,452239.6400,2,0.173745,1,-0.330000,0,23.625073,1.991513
2005-01-05,sz.000516,0.5129546100,0.5188506400,0.4986356800,0.5171660600,0.5095854500,64184,389680.0000,2,0.147704,1,1.490000,0,23.976521,2.021138
2005-01-06,sz.000516,0.5079008700,0.5154814800,0.5062162900,0.5146391900,0.5171660600,65400,395812.0000,2,0.150502,1,-0.490000,0,23.859372,2.011263
2005-01-07,sz.000516,0.5188506400,0.5205352200,0.5087431600,0.5154814800,0.5146391900,47000,287062.0000,2,0.108159,1,0.160000,0,23.898421,2.014555
2005-01-10,sz.000516,0.5104277400,0.5188506400,0.5053740000,0.5180083500,0.5154814800,22429,137120.0000,2,0.051615,1,0.490000,0,24.015571,2.024430
2005-01-11,sz.000516,0.5121123200,0.5188506400,0.5121123200,0.5188506400,0.5180083500,50699,310346.8000,2,0.116672,1,0.160000,0,24.054620,2.027722
2005-01-12,sz.000516,0.5171660600,0.5171660600,0.5104277400,0.5171660600,0.5188506400,45050,274496.5000,2,0.103672,1,-0.320000,0,23.976521,2.021138
2005-01-13,sz.000516,0.5121123200,0.5180083500,0.5104277400,0.5171660600,0.5171660600,58779,358277.8400,2,0.135266,1,0.000000,0,23.976521,2.021138
2005-01-14,sz.000516,0.5180083500,0.5222198000,0.5104277400,0.5163237700,0.5171660600,96380,588765.8000,2,0.221795,1,-0.160000,0,23.937471,2.017847
2005-01-17,sz.000516,0.5053740000,0.5163237700,0.5020048400,0.5104277400,0.5163237700,85360,513222.4000,2,0.196435,1,-1.140000,0,23.664123,1.994804
2005-01-18,sz.000516,0.5104277400,0.5188506400,0.5036894200,0.5129546100,0.5104277400,67830,408385.8000,2,0.156094,1,0.500000,0,23.781272,2.004680
2005-01-19,sz.000516,0.5095854500,0.5137969000,0.5020048400,0.5121123200,0.5129546100,46086,277881.2200,2,0.106056,1,-0.160000,0,23.742223,2.001388
2005-01-20,sz.000516,0.5020048400,0.5255889600,0.5020048400,0.5112700300,0.5121123200,59030,355213.7000,2,0.135843,1,-0.160000,0,23.703173,1.998096
2005-01-21,sz.000516,0.5087431600,0.5180083500,0.4969511000,0.5121123200,0.5112700300,118100,712490.8600,2,0.271779,1,0.160000,0,23.742223,2.001388
2005-01-24,sz.000516,0.5180083500,0.5306427000,0.5180083500,0.5306427000,0.5121123200,292047,1815863.9400,2,0.672076,1,3.620000,0,24.601316,2.073806
2005-01-25,sz.000516,0.5289581200,0.5289581200,0.5188506400,0.5281158300,0.5306427000,105940,658267.0200,2,0.243795,1,-0.480000,0,24.484167,2.063931
2005-01-26,sz.000516,0.5205352200,0.5264312500,0.5154814800,0.5205352200,0.5281158300,75550,466192.0000,2,0.173860,1,-1.440000,0,24.132720,2.034305
2005-01-27,sz.000516,0.5188506400,0.5247466700,0.4969511000,0.4994779700,0.5205352200,89660,540099.0000,2,0.206331,1,-4.050000,0,23.156477,1.952012
2005-01-28,sz.000516,0.5053740000,0.5137969000,0.4893704900,0.4944242300,0.4994779700,93300,549724.6100,2,0.214707,1,-1.010000,0,22.922179,1.932261
2005-01-31,sz.000516,0.4927396500,0.4927396500,0.4725246900,0.4758938500,0.4944242300,203200,1149118.3500,2,0.467616,1,-3.750000,0,22.063085,1.859842
2005-02-01,sz.000516,0.4876859100,0.4876859100,0.4699978200,0.4784207200,0.4758938500,86600,492216.0000,2,0.199289,1,0.530000,0,22.180234,1.869718
2005-02-02,sz.000516,0.4725246900,0.5003202600,0.4725246900,0.4994779700,0.4784207200,138681,805075.2000,2,0.319141,1,4.400000,0,23.156477,1.952012
2005-02-03,sz.000516,0.4969511000,0.5020048400,0.4843167500,0.4876859100,0.4994779700,109400,639079.0000,2,0.251758,1,-2.360000,0,22.609781,1.905927
2005-02-04,sz.000516,0.4961088100,0.4961088100,0.4809475900,0.4876859100,0.4876859100,133899,773191.3800,2,0.308136,1,0.000000,0,22.609781,1.905927
2005-02-16,sz.000516,0.4935819400,0.5036894200,0.4885282000,0.4994779700,0.4876859100,63745,377309.0000,2,0.146694,1,2.420000,0,23.156477,1.952012
2005-02-17,sz.000516,0.4969511000,0.4969511000,0.4885282000,0.4952665200,0.4994779700,53610,314015.6200,2,0.123370,1,-0.840000,0,22.961228,1.935553
2005-02-18,sz.000516,0.4893704900,0.4935819400,0.4801053000,0.4927396500,0.4952665200,191699,1099616.2000,2,0.441149,1,-0.510000,0,22.844079,1.925677
2005-02-21,sz.000516,0.4910550700,0.4969511000,0.4758938500,0.4969511000,0.4927396500,193278,1125056.7800,2,0.444783,1,0.850000,0,23.039328,1.942136
2005-02-22,sz.000516,0.4885282000,0.5079008700,0.4885282000,0.5079008700,0.4969511000,271769,1623460.2700,2,0.625411,1,2.200000,0,23.546974,1.984929
2005-02-23,sz.000516,0.4986356800,0.5255889600,0.4986356800,0.5205352200,0.5079008700,343846,2098035.3400,2,0.791279,1,2.490000,0,24.132720,2.034305
2005-02-24,sz.000516,0.5239043800,0.5239043800,0.5020048400,0.5146391900,0.5205352200,204130,1243222.7500,2,0.469756,1,-1.130000,0,23.859372,2.011263
2005-02-25,sz.000516,0.5095854500,0.5205352200,0.5095854500,0.5146391900,0.5146391900,224750,1373449.5400,2,0.517208,1,0.000000,0,23.859372,2.011263
2005-02-28,sz.000516,0.5121123200,0.5180083500,0.5079008700,0.5137969000,0.5146391900,136714,832403.0900,2,0.314614,1,-0.160000,0,23.820322,2.007971
2005-03-01,sz.000516,0.5079008700,0.5146391900,0.5053740000,0.5095854500,0.5137969000,136500,824067.0000,2,0.314122,1,-0.820000,0,23.625073,1.991513
2005-03-02,sz.000516,0.5095854500,0.5137969000,0.5036894200,0.5062162900,0.5095854500,123700,746564.1000,2,0.284666,1,-0.660000,0,23.468875,1.978346
2005-03-03,sz.000516,0.5062162900,0.5112700300,0.4969511000,0.5062162900,0.5062162900,128200,767359.3000,2,0.295021,1,0.000000,0,23.468875,1.978346
2005-03-04,sz.000516,0.5053740000,0.5062162900,0.4969511000,0.4994779700,0.5062162900,96100,570131.2000,2,0.221151,1,-1.330000,0,23.156477,1.952012
2005-03-07,sz.000516,0.5011625500,0.5011625500,0.4952665200,0.4986356800,0.4994779700,92000,542720.8200,2,0.211716,1,-0.170000,0,23.117427,1.948720
2005-03-08,sz.000516,0.4952665200,0.5053740000,0.4935819400,0.5045317100,0.4986356800,147354,873486.0600,2,0.339100,1,1.180000,0,23.390775,1.971762
2005-03-09,sz.000516,0.5028471300,0.5095854500,0.5028471300,0.5087431600,0.5045317100,167727,1005960.5300,2,0.385983,1,0.830000,0,23.586024,1.988221
2005-03-10,sz.000516,0.5053740000,0.5087431600,0.4885282000,0.4935819400,0.5087431600,140100,825416.4000,2,0.322406,1,-2.980000,0,22.883129,1.928969
2005-03-11,sz.000516,0.4893704900,0.5011625500,0.4851590400,0.4910550700,0.4935819400,129461,753610.5400,2,0.297923,1,-0.510000,0,22.765980,1.919094
2005-03-14,sz.000516,0.4868436200,0.4969511000,0.4851590400,0.4893704900,0.4910550700,113700,658663.9000,2,0.261653,1,-0.340000,0,22.687880,1.912510
2005-03-15,sz.000516,0.4885282000,0.4902127800,0.4725246900,0.4809475900,0.4893704900,240941,1368378.5600,2,0.554468,1,-1.720000,0,22.297383,1.879593
2005-03-16,sz.000516,0.4801053000,0.4860013300,0.4725246900,0.4792630100,0.4809475900,104150,589159.0100,2,0.239676,1,-0.350000,0,22.219284,1.873009
