date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ,pe_rank,pe_rank_percentile
2005-01-04,sz.000516,0.505374,0.51127003,0.50116255,0.50958545,0.51127003,75500.0,452239.64,2,0.173745,1,-0.33,0,23.625073,1.991513,,
2005-01-05,sz.000516,0.51295461,0.51885064,0.49863568,0.51716606,0.50958545,64184.0,389680.0,2,0.147704,1,1.49,0,23.976521,2.021138,,
2005-01-06,sz.000516,0.50790087,0.51548148,0.50621629,0.51463919,0.51716606,65400.0,395812.0,2,0.150502,1,-0.49,0,23.859372,2.011263,,
2005-01-07,sz.000516,0.51885064,0.52053522,0.50874316,0.51548148,0.51463919,47000.0,287062.0,2,0.108159,1,0.16,0,23.898421,2.014555,,
2005-01-10,sz.000516,0.51042774,0.51885064,0.505374,0.51800835,0.51548148,22429.0,137120.0,2,0.051615,1,0.49,0,24.015571,2.02443,,
2005-01-11,sz.000516,0.51211232,0.51885064,0.51211232,0.51885064,0.51800835,50699.0,310346.8,2,0.116672,1,0.16,0,24.05462,2.027722,,
2005-01-12,sz.000516,0.51716606,0.51716606,0.51042774,0.51716606,0.51885064,45050.0,274496.5,2,0.103672,1,-0.32,0,23.976521,2.021138,,
2005-01-13,sz.000516,0.51211232,0.51800835,0.51042774,0.51716606,0.51716606,58779.0,358277.84,2,0.135266,1,0.0,0,23.976521,2.021138,,
2005-01-14,sz.000516,0.51800835,0.5222198,0.51042774,0.51632377,0.51716606,96380.0,588765.8,2,0.221795,1,-0.16,0,23.937471,2.017847,,
2005-01-17,sz.000516,0.505374,0.51632377,0.50200484,0.51042774,0.51632377,85360.0,513222.4,2,0.196435,1,-1.14,0,23.664123,1.994804,,
2005-01-18,sz.000516,0.51042774,0.51885064,0.50368942,0.51295461,0.51042774,67830.0,408385.8,2,0.156094,1,0.5,0,23.781272,2.00468,,
2005-01-19,sz.000516,0.50958545,0.5137969,0.50200484,0.51211232,0.51295461,46086.0,277881.22,2,0.106056,1,-0.16,0,23.742223,2.001388,,
2005-01-20,sz.000516,0.50200484,0.52558896,0.50200484,0.51127003,0.51211232,59030.0,355213.7,2,0.135843,1,-0.16,0,23.703173,1.998096,,
2005-01-21,sz.000516,0.50874316,0.51800835,0.4969511,0.51211232,0.51127003,118100.0,712490.86,2,0.271779,1,0.16,0,23.742223,2.001388,,
2005-01-24,sz.000516,0.51800835,0.5306427,0.51800835,0.5306427,0.51211232,292047.0,1815863.94,2,0.672076,1,3.62,0,24.601316,2.073806,,
2005-01-25,sz.000516,0.52895812,0.52895812,0.51885064,0.52811583,0.5306427,105940.0,658267.02,2,0.243795,1,-0.48,0,24.484167,2.063931,,
2005-01-26,sz.000516,0.52053522,0.52643125,0.51548148,0.52053522,0.52811583,75550.0,466192.0,2,0.17386,1,-1.44,0,24.13272,2.034305,,
2005-01-27,sz.000516,0.51885064,0.52474667,0.4969511,0.49947797,0.52053522,89660.0,540099.0,2,0.206331,1,-4.05,0,23.156477,1.952012,,
2005-01-28,sz.000516,0.505374,0.5137969,0.48937049,0.49442423,0.49947797,93300.0,549724.61,2,0.214707,1,-1.01,0,22.922179,1.932261,,
2005-01-31,sz.000516,0.49273965,0.49273965,0.47252469,0.47589385,0.49442423,203200.0,1149118.35,2,0.467616,1,-3.75,0,22.063085,1.859842,,
2005-02-01,sz.000516,0.48768591,0.48768591,0.46999782,0.47842072,0.47589385,86600.0,492216.0,2,0.199289,1,0.53,0,22.180234,1.869718,,
2005-02-02,sz.000516,0.47252469,0.50032026,0.47252469,0.49947797,0.47842072,138681.0,805075.2,2,0.319141,1,4.4,0,23.156477,1.952012,,
2005-02-03,sz.000516,0.4969511,0.50200484,0.48431675,0.48768591,0.49947797,109400.0,639079.0,2,0.251758,1,-2.36,0,22.609781,1.905927,,
2005-02-04,sz.000516,0.49610881,0.49610881,0.48094759,0.48768591,0.48768591,133899.0,773191.38,2,0.308136,1,0.0,0,22.609781,1.905927,,
2005-02-16,sz.000516,0.49358194,0.50368942,0.4885282,0.49947797,0.48768591,63745.0,377309.0,2,0.146694,1,2.42,0,23.156477,1.952012,,
2005-02-17,sz.000516,0.4969511,0.4969511,0.4885282,0.49526652,0.49947797,53610.0,314015.62,2,0.12337,1,-0.84,0,22.961228,1.935553,,
2005-02-18,sz.000516,0.48937049,0.49358194,0.4801053,0.49273965,0.49526652,191699.0,1099616.2,2,0.441149,1,-0.51,0,22.844079,1.925677,,
2005-02-21,sz.000516,0.49105507,0.4969511,0.47589385,0.4969511,0.49273965,193278.0,1125056.78,2,0.444783,1,0.85,0,23.039328,1.942136,,
2005-02-22,sz.000516,0.4885282,0.50790087,0.4885282,0.50790087,0.4969511,271769.0,1623460.27,2,0.625411,1,2.2,0,23.546974,1.984929,,
2005-02-23,sz.000516,0.49863568,0.52558896,0.49863568,0.52053522,0.50790087,343846.0,2098035.34,2,0.791279,1,2.49,0,24.13272,2.034305,,
2005-02-24,sz.000516,0.52390438,0.52390438,0.50200484,0.51463919,0.52053522,204130.0,1243222.75,2,0.469756,1,-1.13,0,23.859372,2.011263,,
2005-02-25,sz.000516,0.50958545,0.52053522,0.50958545,0.51463919,0.51463919,224750.0,1373449.54,2,0.517208,1,0.0,0,23.859372,2.011263,,
2005-02-28,sz.000516,0.51211232,0.51800835,0.50790087,0.5137969,0.51463919,136714.0,832403.09,2,0.314614,1,-0.16,0,23.820322,2.007971,,
2005-03-01,sz.000516,0.50790087,0.51463919,0.505374,0.50958545,0.5137969,136500.0,824067.0,2,0.314122,1,-0.82,0,23.625073,1.991513,,
2005-03-02,sz.000516,0.50958545,0.5137969,0.50368942,0.50621629,0.50958545,123700.0,746564.1,2,0.284666,1,-0.66,0,23.468875,1.978346,,
2005-03-03,sz.000516,0.50621629,0.51127003,0.4969511,0.50621629,0.50621629,128200.0,767359.3,2,0.295021,1,0.0,0,23.468875,1.978346,,
2005-03-04,sz.000516,0.505374,0.50621629,0.4969511,0.49947797,0.50621629,96100.0,570131.2,2,0.221151,1,-1.33,0,23.156477,1.952012,,
2005-03-07,sz.000516,0.50116255,0.50116255,0.49526652,0.49863568,0.49947797,92000.0,542720.82,2,0.211716,1,-0.17,0,23.117427,1.94872,,
2005-03-08,sz.000516,0.49526652,0.505374,0.49358194,0.50453171,0.49863568,147354.0,873486.06,2,0.3391,1,1.18,0,23.390775,1.971762,,
2005-03-09,sz.000516,0.50284713,0.50958545,0.50284713,0.50874316,0.50453171,167727.0,1005960.53,2,0.385983,1,0.83,0,23.586024,1.988221,,
2005-03-10,sz.000516,0.505374,0.50874316,0.4885282,0.49358194,0.50874316,140100.0,825416.4,2,0.322406,1,-2.98,0,22.883129,1.928969,,
2005-03-11,sz.000516,0.48937049,0.50116255,0.48515904,0.49105507,0.49358194,129461.0,753610.54,2,0.297923,1,-0.51,0,22.76598,1.919094,,
2005-03-14,sz.000516,0.48684362,0.4969511,0.48515904,0.48937049,0.49105507,113700.0,658663.9,2,0.261653,1,-0.34,0,22.68788,1.91251,,
2005-03-15,sz.000516,0.4885282,0.49021278,0.47252469,0.48094759,0.48937049,240941.0,1368378.56,2,0.554468,1,-1.72,0,22.297383,1.879593,,
2005-03-16,sz.000516,0.4801053,0.48600133,0.47252469,0.47926301,0.48094759,104150.0,589159.01,2,0.239676,1,-0.35,0,22.219284,1.873009,,
2005-03-17,sz.000516,0.47420927,0.48600133,0.47420927,0.48347446,0.47926301,69700.0,397258.4,2,0.160398,1,0.88,0,22.414532,1.889468,,
2005-03-18,sz.000516,0.4885282,0.49526652,0.45820576,0.46157492,0.48347446,132800.0,737162.91,2,0.305607,1,-4.53,0,21.39924,1.803882,,
2005-03-21,sz.000516,0.46157492,0.46747095,0.45399431,0.46241721,0.46157492,178819.0,973418.02,2,0.411509,1,0.18,0,23.880239,1.745742,,
2005-03-22,sz.000516,0.46157492,0.46831324,0.44135996,0.44894057,0.46241721,226300.0,1205432.6,2,0.520775,1,-2.91,0,23.184276,1.694864,,
2005-03-23,sz.000516,0.43883309,0.44894057,0.4379908,0.43967538,0.44894057,159604.0,835981.32,2,0.36729,1,-2.06,0,22.705801,1.659886,11,22.0
2005-03-24,sz.000516,0.44051767,0.44304454,0.42535645,0.43293706,0.43967538,177398.0,907484.58,2,0.408239,1,-1.53,0,22.35782,1.634447,7,14.0
2005-03-25,sz.000516,0.43209477,0.43377935,0.42535645,0.43377935,0.43293706,198568.0,1015918.38,2,0.456956,1,0.19,0,22.401317,1.637627,8,16.0
2005-03-28,sz.000516,0.43714851,0.43714851,0.42282958,0.43041019,0.43377935,132900.0,673914.0,2,0.305837,1,-0.78,0,22.227327,1.624908,6,12.0
2005-03-29,sz.000516,0.4295679,0.43125248,0.42535645,0.43125248,0.43041019,92929.0,472820.84,2,0.213854,1,0.2,0,22.270824,1.628087,7,14.0
2005-03-30,sz.000516,0.42451416,0.42535645,0.4042992,0.41019523,0.43125248,158200.0,777557.08,2,0.364059,1,-4.88,0,21.183382,1.548591,2,4.0
2005-03-31,sz.000516,0.40851065,0.4127221,0.4042992,0.4127221,0.41019523,111829.0,543481.1,2,0.257347,1,0.62,0,21.313875,1.558131,3,6.0
2005-04-01,sz.000516,0.4127221,0.43293706,0.40682607,0.42198729,0.4127221,191320.0,955530.8,2,0.440277,1,2.24,0,21.79235,1.593109,5,10.0
2005-04-04,sz.000516,0.421145,0.43377935,0.41440668,0.42872561,0.42198729,201648.0,1020715.6,2,0.464044,1,1.6,0,22.140331,1.618548,7,14.0
2005-04-05,sz.000516,0.4295679,0.4295679,0.41609126,0.41777584,0.42872561,113670.0,571356.07,2,0.261584,1,-2.55,0,21.574861,1.57721,5,10.0
2005-04-06,sz.000516,0.421145,0.42872561,0.41356439,0.42872561,0.41777584,148012.0,738058.56,2,0.340614,1,2.62,0,22.140331,1.618548,9,18.0
2005-04-07,sz.000516,0.42704103,0.43967538,0.42282958,0.43377935,0.42872561,336294.0,1731654.61,2,0.7739,1,1.18,0,22.401317,1.637627,17,34.0
2005-04-08,sz.000516,0.43462164,0.45315202,0.4295679,0.45146744,0.43377935,330213.0,1726353.78,2,0.759906,1,4.08,0,23.314769,1.704404,35,70.0
2005-04-11,sz.000516,0.45315202,0.45315202,0.44135996,0.44472912,0.45146744,238200.0,1260201.66,2,0.54816,1,-1.49,0,22.966788,1.678965,28,56.0
2005-04-12,sz.000516,0.42198729,0.44472912,0.42198729,0.43125248,0.44472912,153900.0,790392.0,2,0.354164,1,-3.03,0,22.270824,1.628087,14,28.0
2005-04-13,sz.000516,0.42872561,0.45146744,0.42872561,0.44472912,0.43125248,291938.0,1535870.29,2,0.671825,1,3.13,0,22.966788,1.678965,30,60.0
2005-04-14,sz.000516,0.43883309,0.45230973,0.43630622,0.4379908,0.44472912,270490.0,1433414.09,2,0.622468,1,-1.52,0,22.618806,1.653526,22,44.0
2005-04-15,sz.000516,0.43041019,0.44051767,0.42451416,0.43125248,0.4379908,191290.0,972998.3,2,0.440208,1,-1.54,0,22.270824,1.628087,15,30.0
2005-04-18,sz.000516,0.42704103,0.44388683,0.421145,0.42535645,0.43125248,115095.0,584785.27,2,0.264863,1,-1.37,0,21.96634,1.605828,7,14.0
2005-04-19,sz.000516,0.421145,0.43125248,0.4127221,0.42367187,0.42535645,117200.0,589054.43,2,0.269708,1,-0.4,0,21.454516,1.558419,5,10.0
2005-04-20,sz.000516,0.42282958,0.42535645,0.39840317,0.4042992,0.42367187,259900.0,1263580.1,2,0.598097,1,-4.57,0,20.473495,1.487159,2,4.0
2005-04-21,sz.000516,0.40008775,0.4127221,0.3874534,0.39250714,0.4042992,267783.0,1258594.7,2,0.616238,1,-2.92,0,19.876351,1.443784,2,4.0
2005-04-22,sz.000516,0.39166485,0.39419172,0.38071508,0.39419172,0.39250714,167776.0,769731.36,2,0.386096,1,0.43,0,19.961657,1.44998,3,6.0
2005-04-25,sz.000516,0.39250714,0.39419172,0.38492653,0.38998027,0.39419172,107900.0,498036.91,2,0.248306,1,-1.07,0,19.748392,1.434489,2,4.0
2005-04-26,sz.000516,0.38998027,0.40093004,0.38913798,0.39840317,0.38998027,147301.0,692326.67,2,0.338978,1,2.16,0,20.174923,1.465471,5,10.0
2005-04-27,sz.000516,0.40008775,0.40935294,0.39671859,0.40766836,0.39840317,195008.0,933425.34,2,0.448764,1,2.33,0,20.644107,1.499552,7,14.0
2005-04-28,sz.000516,0.40598378,0.41777584,0.3958763,0.41693355,0.40766836,275105.0,1339788.1,2,0.633088,1,2.27,0,21.113291,1.533633,8,16.0
2005-04-29,sz.000516,0.41440668,0.42030271,0.40598378,0.41440668,0.41693355,164900.0,810084.64,2,0.379478,1,-0.61,0,20.985332,1.524338,8,16.0
2005-05-09,sz.000516,0.41609126,0.41693355,0.3958763,0.40177233,0.41440668,55400.0,264959.0,2,0.12749,1,-3.05,0,20.345535,1.477864,6,12.0
2005-05-10,sz.000516,0.40008775,0.40261462,0.3874534,0.40261462,0.40177233,117500.0,552386.33,2,0.270398,1,0.21,0,20.388189,1.480962,7,14.0
2005-05-11,sz.000516,0.40008775,0.40851065,0.38913798,0.40261462,0.40261462,127500.0,597650.0,2,0.293411,1,0.0,0,20.388189,1.480962,8,16.0
2005-05-12,sz.000516,0.40008775,0.40261462,0.39250714,0.39756088,0.40261462,142789.0,672792.42,2,0.328594,1,-1.26,0,20.13227,1.462373,5,10.0
2005-05-13,sz.000516,0.39756088,0.41609126,0.38998027,0.4127221,0.39756088,237016.0,1138521.59,2,0.545435,1,3.81,0,20.900026,1.518141,12,24.0
2005-05-16,sz.000516,0.40851065,0.41609126,0.4042992,0.4042992,0.4127221,163335.0,793182.47,2,0.375876,1,-2.04,0,20.473495,1.487159,11,22.0
2005-05-17,sz.000516,0.40008775,0.41946042,0.39924546,0.41693355,0.4042992,194974.0,957393.47,2,0.448686,1,3.13,0,21.113291,1.533633,16,32.0
2005-05-18,sz.000516,0.41440668,0.42704103,0.41440668,0.42282958,0.41693355,360643.0,1804836.32,2,0.829933,1,1.41,0,21.411863,1.55532,20,40.0
